Emplyee name,Layoff
Adalberto W Creek,1
Adelaide L Harrop,1
Alexis Q Grose,1
Allyn O Farrior,1
America V Lobel,1
Amiee Z Chaffins,1
Andrew Detweiler,1
Asa E Kunze,1
August C Navarette,1
Bell N Molinaro,1
Bennie E Manfredi,1
Benny S Brinker,1
Bernie M Kish,1
Brendon E Mone,1
Bridget D Spadaro,1
Buck H Rancourt,1
Cameron A Chamberland,1
Candelaria Q Zajicek,1
Candelaria Zajicek,1
Carlotta T Ryles,1
Carmelia E Bergeron,1
Cedric N Cavallo,1
Christene F Blakemore,1
Christie Rodger,1
Cliff Skipworth,1
Cole N Poling,1
Deanna P Scoggin,1
Dee Joslyn,1
Detra D Rymer,1
Devin Hales,1
Digna Q Eck,1
Doyle Utter,1
Dulce E Grizzard,1
Edmund Mcclung,1
Ela K Hames,1
Eldridge B Bose,1
Elsy B Latta,1
Elvis J Stroh,1
Elvis Veiga,1
Fernando S Korhonen,1
Gabriel E Pearsall,1
Garnett Dryer,1
Garrett Nolette,1
Garrett S Nolette,1
Grisel R Whitty,1
Harland S Renshaw,1
Honey D Eaves,1
Hong M Townson,1
Inocencia Z Buteau,1
Jamaal Z Resto,1
Jamel Meaney,1
Janie P Caswell,1
Jayson S Carrol,1
Jenni Olguin,1
Jocelyn Q Scotti,1
Jody K Rude,1
Jolanda Dewees,1
Jon Arvizu,1
Jordan Phu,1
Julius Q Stock,1
Kassie Q Binder,1
Katie N Kinnison,1
Keila A Lucas,1
Keira Y Till,1
Ken X Weisberg,1
Kenton Q Villalta,1
Kimberlee J Hawkins,1
Kristopher Alejos,1
Lamar W Estill,1
Larisa Still,1
Larry K Mash,1
Latia Gleaton,1
Launa N Kohl,1
Laurena P Caston,1
Lenny U Rister,1
Loren H Mckenzie,1
Lorriane P Ho,1
Lyn Tso,1
Margrett M Confer,1
Maximina K Frates,1
Micaela N Buker,1
Narcisa C Rayburn,1
Nettie T Mccandless,1
Oren M Mcnabb,1
Oren Mcnabb,1
Orval Q Olinger,1
Patria D Riedel,1
Raymundo Pecora,1
Reinaldo G Castellanos,1
Reynaldo S Service,1
Sammy C Holtzclaw,1
Sarita P Schubert,1
Scott D Torrey,1
Shanti P Brinegar,1
Shavonne Henkle,1
Sherwood K Shire,1
Sol K Roger,1
Stephan Q Ranger,1
Stewart Mazurek,1
Susana H Hooks,1
Tamera Balser,1
Taneka Q Church,1
Taylor Thill,1
Therese Q Belden,1
Tiny Q Llanos,1
Toney O Gentle,1
Toney W Bollman,1
Toya B Rawlins,1
Valene Z Woodmansee,1
Vaughn Garica,1
Vernell X Amado,1
Vikki N Lezama,1
Violet L Ertel,1
Walton S Keim,1
Willia Vath,1
Windy A Dudek,1
Wm S Goldschmidt,1
